"Reporting starts","Reporting ends","Ad Set Name","Ad set delivery","Ad set budget","Ad set budget type","Amount spent (USD)","App installs","Cost per app install (USD)",Leads,"Cost per lead (USD)",Results,"Result indicator","Cost per results",Impressions,"CPM (cost per 1,000 impressions) (USD)","Unique outbound clicks","Cost per unique outbound click (USD)","Unique outbound CTR (click-through rate)","Unique link clicks","Cost per unique link click (USD)","CR Mobile App Installs","CR Leads","LP Mobile App Installs","LP Leads","Video plays to link clicks rate","Impressions to 3-second video plays rate"
2025-05-29,2025-07-28,,0,0,0,4194.12,,,,,,,,1695551,2.473603,,,,,,,,,,,
2025-05-29,2025-07-28,"B - Stories and Reels 1 - CC $5 - Android - 13/05/24",inactive,20,Daily,0,,,,,,,,0,0,,,,,,,,,,,
2025-05-29,2025-07-28,"B - Stories and Reels 2 - CC $5 - Android - 13/05/24",inactive,15,Daily,0,,,,,,,,0,0,,,,,,,,,,,
2025-05-29,2025-07-28,"B - 1 - CC $5 - Android - 13/05/24",inactive,15,Daily,0,,,,,,,,0,0,,,,,,,,,,,
2025-05-29,2025-07-28,"B - 2 - CC $1 - Android - 15/05/24",inactive,10,Daily,0,,,,,,,,0,0,,,,,,,,,,,
2025-05-29,2025-07-28,"B - 3 - CC $2.50 - Android - 15/05/24",inactive,10,Daily,0,,,,,,,,0,0,,,,,,,,,,,
2025-05-29,2025-07-28,"B - 4 - CC $2.50 - Android - 17/05/24",inactive,30,Daily,0,,,,,,,,0,0,,,,,,,,,,,
2025-05-29,2025-07-28,"B - 5 - CC $3 - Android - 17/05/24",inactive,10,Daily,0,,,,,,,,0,0,,,,,,,,,,,
2025-05-29,2025-07-28,"B - 6 - CC $1 - Android - 22/05/24",inactive,15,Daily,0,,,,,,,,0,0,,,,,,,,,,,
2025-05-29,2025-07-28,"B - 7 - CC $1 - Android - 28/05/24",inactive,15,Daily,0,,,,,,,,0,0,,,,,,,,,,,
2025-05-29,2025-07-28,"B - 8 - CC $1 - Android - 07/06/24",inactive,15,Daily,0,,,,,,,,0,0,,,,,,,,,,,
2025-05-29,2025-07-28,"B - 9 - CC $1 - Android - 28/06/24",inactive,20,Daily,0,,,,,,,,0,0,,,,,,,,,,,
2025-05-29,2025-07-28,"B - 10 - CC $1 - Android - 05/07/24",inactive,15,Daily,0,,,,,,,,0,0,,,,,,,,,,,
2025-05-29,2025-07-28,"B - 11 - CC $1 - Android - 05/07/24",inactive,10,Daily,0,,,,,,,,0,0,,,,,,,,,,,
2025-05-29,2025-07-28,"B - 12 - CC $1.50 - Android - 09/07/24",inactive,15,Daily,0,,,,,,,,0,0,,,,,,,,,,,
2025-05-29,2025-07-28,"B -13 - CC $1 - Android - 14/07/24",inactive,10,Daily,0,,,,,,,,0,0,,,,,,,,,,,
2025-05-29,2025-07-28,"B - 14 - CC $2 - Android - 19/07/24",inactive,15,Daily,0,,,,,,,,0,0,,,,,,,,,,,
2025-05-29,2025-07-28,"B - 15 - CC $1 - Android - 17/07/24",inactive,20,Daily,0,,,,,,,,0,0,,,,,,,,,,,
2025-05-29,2025-07-28,"B - 16 - Android - 21/07/24",inactive,10,Daily,0,,,,,,,,0,0,,,,,,,,,,,
2025-05-29,2025-07-28,"B - 17 - Android - 22/07/24",inactive,20,Daily,0,,,,,,,,0,0,,,,,,,,,,,
